Participant,From,To,Duration,File,Function,Scenario,Something related to traffic,RPM,Speed,Brake,STD of interval time,eyes off the road (yes/no),Notes,Phone dimmed
P02,0700.0,0703.25,3.25,,others,expressway,very close to a car on the other lane,,,,,yes,"looking at the phone, got distracted from the error occured on stw",No
P02,0709.35,0710.2,0.8500000000000227,,forward/backward,expressway,very close to a car on the other lane and front car,,,,,yes,looking at the phone for feedback while interaction,No
P02,0711.55,0712.2,0.650000000000091,,forward/backward,expressway,very close to a car on the other lane and front car,,,,,yes,looking at the phone for feedback after interaction--unsuccessful interaction,No
P02,0716.25,0718.5,2.25,,forward/backward,expressway,very close to a car on the other lane and front car,,,,,yes,"looking at the phone for feedback after interaction, backward",No
P02,0727.2,0728.45,1.25,,forward/backward,expressway,very close to a car on the other lane and front car,,,,,yes,"looking at the phone for feedback after interaction, unsuccessful interaction, executing the gesture with the other hand for backward function",No
P02,0729.7,0733.55,3.849999999999909,,forward/backward,expressway,close to a car on the other lane,,,,,yes,"looking at the phone for feedback after interaction, executing the gesture with the other hand for backward function",No
P02,0736.95,0737.95,1.0,,forward/backward,expressway,"very close to a car on the other lane and front car, careless driving",,,,,yes,looking at the phone for feedback after interaction ,No
P02,0744.1,0744.9,0.7999999999999545,,pause/play,expressway,very close to a car on the other lane and front car,,,,,yes,"looking at the phone for feedback after interaction, mistakenly paused -- he was trying to lean his head on the headrest",No
P02,0745.5,0746.5,1.0,,pause/play,expressway,very close to a car on the other lane and front car,,,,,yes,looking at the phone for feedback after interaction,No
P02,0758.5,0759.1,0.6000000000000227,,Vol-up/down,expressway,very close to a car on the other lane and front car,,,,,yes,"looking at the phone for feedback after interaction, two swipes down, 4 swipes up fast",No
P02,0835.0,0835.0,0.0,,Vol-up/down,expressway,careless driving,,,,,no,"1 complete swipe up, 3 small swipe ups ",No
P02,0904.0,0904.0,0.0,,Vol-up/down,expressway,passed all the cars,,,,,no,"8 fast and loose swipe ups, help his fingure on the top  and one swipe down then one swipe up again",No
P02,5831.1,5831.5,0.3999999999996362,,others,urban,,,,,,yes,"looking at the phone, an error on stw",No
P02,5843.2,5844.7,1.5,,others,urban,close to a turn,,,,,yes,"looking at the phone, an error on stw",No
P02,5845.6,5846.25,0.6499999999996362,,forward/backward,urban,close to a turn,,,,,yes,looking at the phone for feedback after interaction,No
P02,5846.5,5847.45,0.9499999999998181,,Vol-up/down,urban,close to a turn,,,,,yes,6 sloose swipe ups on the upper side of the sensors,No
P02,5900.0,5903.0,3.0,,others,urban,about to make a turn,,,,,yes,"looking at the phone, an error on stw",No
P02,5912.6,5914.5,1.8999999999996362,,pause/play,urban,,,,,,yes,looking at the phone for feedback while/after interaction,No
P02,5939.45,5940.45,1.0,,others,urban,right after turn,,,,,yes,paused because of an error on stw,No
P02,5941.85,5944.3,2.449999999999818,,pause/play,urban,"very close to a turn, stopped before interaction get completed",,,,,yes,looking at the phone for feedback while/after interaction,No
P02,5946.7,5948.3,1.6000000000003638,,Vol-up/down,urban,about to make a turn,,,,,yes,3 loose swipe ups on the upper side of the sensors,No
P02,0005.8,0006.4,0.6000000000000005,,others,urban,very close to a turn,,,,,yes,looking at the phone,No
P02,0011.5,0012.75,1.25,,Vol-up/down,urban,right after turn,,,,,yes,4 loose swipe downs on the bottom side of the sensors,No
P02,0013.35,0015.35,2.0,,Vol-up/down,urban,,,,,,yes,"1 complete swipe up, 3 loose swipe ups on the upper side ",No
P02,0039.0,0040.2,1.2000000000000028,,others,urban,"car was stopped before turn",,,,,yes,"he mentioned he couldnt see the stitches and confused where to press, also the song changed because of an error on the stw",No
P02,0040.55,0041.75,1.2000000000000028,,forward/backward,urban,"car was stopped before turn ",,,,,yes,"unsuccessful gesture, he delayed moving forward",No
P02,0044.05,0044.5,0.45000000000000284,,forward/backward,urban,about to make a turn,,,,,yes,unsuccessful gesture with hold gesture,No
P02,0110.25,0110.9,0.6500000000000057,,Vol-up/down,urban,,,,,,yes,4 complete swipe ups and 2 loose swipe ups on the upper side,No
